Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.92,0.00
4.00,1.50,0.90,0.00
4.00,1.75,0.85,0.00
4.00,2.00,0.81,0.00
4.00,2.25,0.77,0.00
4.00,2.50,0.70,0.00
4.00,2.75,0.66,0.00
4.00,3.00,0.64,0.00
4.00,3.25,0.48,0.00
4.00,3.50,0.43,0.01
4.00,3.75,0.29,0.01
4.00,4.00,0.23,0.02
4.00,4.25,0.22,0.00
4.00,4.50,0.17,0.00
4.00,4.75,0.07,0.00
4.00,5.00,0.10,0.00
4.00,5.25,0.12,0.00
4.00,5.50,0.10,0.00
4.00,5.75,0.13,0.01
4.00,6.00,0.08,0.00
4.00,6.25,0.07,0.00
4.00,6.50,0.08,0.00
4.00,6.75,0.07,0.00
4.00,7.00,0.07,0.00
