Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.93,0.00
4.00,1.50,0.91,0.00
4.00,1.75,0.86,0.00
4.00,2.00,0.84,0.00
4.00,2.25,0.80,0.00
4.00,2.50,0.75,0.00
4.00,2.75,0.66,0.00
4.00,3.00,0.62,0.00
4.00,3.25,0.58,0.00
4.00,3.50,0.49,0.00
4.00,3.75,0.44,0.00
4.00,4.00,0.38,0.00
4.00,4.25,0.28,0.01
4.00,4.50,0.24,0.00
4.00,4.75,0.13,0.01
4.00,5.00,0.13,0.00
4.00,5.25,0.10,0.00
4.00,5.50,0.11,0.00
4.00,5.75,0.09,0.00
4.00,6.00,0.09,0.00
4.00,6.25,0.09,0.00
4.00,6.50,0.08,0.00
4.00,6.75,0.12,0.01
4.00,7.00,0.09,0.00
