Density,Noise,OP,Error
2.00,0.00,1.00,0.00
2.00,0.25,1.00,0.00
2.00,0.50,0.97,0.00
2.00,0.75,0.95,0.00
2.00,1.00,0.86,0.01
2.00,1.25,0.88,0.00
2.00,1.50,0.82,0.00
2.00,1.75,0.75,0.00
2.00,2.00,0.72,0.01
2.00,2.25,0.71,0.00
2.00,2.50,0.58,0.01
2.00,2.75,0.50,0.00
2.00,3.00,0.31,0.02
2.00,3.25,0.31,0.01
2.00,3.50,0.19,0.00
2.00,3.75,0.12,0.00
2.00,4.00,0.07,0.00
2.00,4.25,0.05,0.00
2.00,4.50,0.08,0.00
2.00,4.75,0.05,0.00
2.00,5.00,0.05,0.00
2.00,5.25,0.05,0.00
2.00,5.50,0.04,0.00
2.00,5.75,0.06,0.00
2.00,6.00,0.05,0.00
2.00,6.25,0.05,0.00
2.00,6.50,0.04,0.00
2.00,6.75,0.05,0.00
2.00,7.00,0.04,0.00
