Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.92,0.00
4.00,1.50,0.90,0.00
4.00,1.75,0.83,0.00
4.00,2.00,0.82,0.00
4.00,2.25,0.79,0.00
4.00,2.50,0.70,0.00
4.00,2.75,0.65,0.01
4.00,3.00,0.58,0.01
4.00,3.25,0.61,0.00
4.00,3.50,0.39,0.01
4.00,3.75,0.37,0.02
4.00,4.00,0.24,0.01
4.00,4.25,0.16,0.01
4.00,4.50,0.17,0.00
4.00,4.75,0.13,0.00
4.00,5.00,0.12,0.00
4.00,5.25,0.11,0.00
4.00,5.50,0.08,0.00
4.00,5.75,0.10,0.00
4.00,6.00,0.10,0.00
4.00,6.25,0.14,0.01
4.00,6.50,0.06,0.00
4.00,6.75,0.12,0.00
4.00,7.00,0.08,0.00
