Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.91,0.00
4.00,1.50,0.88,0.00
4.00,1.75,0.81,0.01
4.00,2.00,0.76,0.00
4.00,2.25,0.74,0.00
4.00,2.50,0.66,0.00
4.00,2.75,0.62,0.00
4.00,3.00,0.59,0.00
4.00,3.25,0.46,0.01
4.00,3.50,0.38,0.02
4.00,3.75,0.36,0.01
4.00,4.00,0.22,0.01
4.00,4.25,0.15,0.01
4.00,4.50,0.15,0.01
4.00,4.75,0.16,0.01
4.00,5.00,0.12,0.00
4.00,5.25,0.10,0.00
4.00,5.50,0.09,0.00
4.00,5.75,0.09,0.00
4.00,6.00,0.10,0.00
4.00,6.25,0.11,0.00
4.00,6.50,0.10,0.00
4.00,6.75,0.11,0.00
4.00,7.00,0.10,0.01
