Density,Noise,OP,Error
4.00,0.00,1.00,-0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.94,0.00
4.00,1.25,0.89,0.00
4.00,1.50,0.88,0.00
4.00,1.75,0.84,0.00
4.00,2.00,0.77,0.00
4.00,2.25,0.75,0.01
4.00,2.50,0.69,0.00
4.00,2.75,0.65,0.00
4.00,3.00,0.50,0.00
4.00,3.25,0.46,0.00
4.00,3.50,0.41,0.00
4.00,3.75,0.29,0.01
4.00,4.00,0.22,0.01
4.00,4.25,0.14,0.01
4.00,4.50,0.09,0.00
4.00,4.75,0.06,0.00
4.00,5.00,0.07,0.00
4.00,5.25,0.05,0.00
4.00,5.50,0.04,0.00
4.00,5.75,0.05,0.00
4.00,6.00,0.04,0.00
4.00,6.25,0.04,0.00
4.00,6.50,0.03,0.00
4.00,6.75,0.04,0.00
4.00,7.00,0.06,0.00
