Density,Noise,OP,Error
2.00,0.00,1.00,0.00
2.00,0.25,1.00,0.00
2.00,0.50,0.98,0.00
2.00,0.75,0.95,0.00
2.00,1.00,0.94,0.00
2.00,1.25,0.89,0.00
2.00,1.50,0.85,0.00
2.00,1.75,0.74,0.01
2.00,2.00,0.71,0.00
2.00,2.25,0.68,0.01
2.00,2.50,0.66,0.01
2.00,2.75,0.51,0.01
2.00,3.00,0.46,0.00
2.00,3.25,0.38,0.03
2.00,3.50,0.28,0.01
2.00,3.75,0.20,0.00
2.00,4.00,0.16,0.00
2.00,4.25,0.10,0.00
2.00,4.50,0.07,0.00
2.00,4.75,0.05,0.00
2.00,5.00,0.05,0.00
2.00,5.25,0.03,0.00
2.00,5.50,0.06,0.00
2.00,5.75,0.05,0.00
2.00,6.00,0.04,0.00
2.00,6.25,0.04,0.00
2.00,6.50,0.03,0.00
2.00,6.75,0.02,0.00
2.00,7.00,0.03,0.00
