Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.96,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.91,0.00
4.00,1.50,0.87,0.00
4.00,1.75,0.83,0.00
4.00,2.00,0.79,0.00
4.00,2.25,0.76,0.00
4.00,2.50,0.65,0.00
4.00,2.75,0.61,0.01
4.00,3.00,0.59,0.00
4.00,3.25,0.43,0.02
4.00,3.50,0.38,0.01
4.00,3.75,0.35,0.01
4.00,4.00,0.24,0.01
4.00,4.25,0.19,0.01
4.00,4.50,0.08,0.00
4.00,4.75,0.08,0.00
4.00,5.00,0.05,0.00
4.00,5.25,0.07,0.00
4.00,5.50,0.06,0.00
4.00,5.75,0.06,0.00
4.00,6.00,0.04,0.00
4.00,6.25,0.03,0.00
4.00,6.50,0.05,0.00
4.00,6.75,0.03,0.00
4.00,7.00,0.04,0.00
