Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.98,0.00
4.00,0.75,0.96,0.00
4.00,1.00,0.93,0.00
4.00,1.25,0.91,0.00
4.00,1.50,0.85,0.00
4.00,1.75,0.75,0.02
4.00,2.00,0.72,0.02
4.00,2.25,0.52,0.04
4.00,2.50,0.50,0.06
4.00,2.75,0.35,0.07
4.00,3.00,0.41,0.05
4.00,3.25,0.36,0.05
4.00,3.50,0.17,0.01
4.00,3.75,0.32,0.01
4.00,4.00,0.21,0.01
4.00,4.25,0.12,0.00
4.00,4.50,0.17,0.00
4.00,4.75,0.10,0.00
4.00,5.00,0.11,0.00
4.00,5.25,0.09,0.00
4.00,5.50,0.08,0.01
4.00,5.75,0.09,0.00
4.00,6.00,0.08,0.00
4.00,6.25,0.07,0.00
4.00,6.50,0.11,0.00
4.00,6.75,0.11,0.00
4.00,7.00,0.08,0.00
