Density,Noise,OP,Error
2.00,0.00,1.00,-0.00
2.00,0.25,0.99,0.00
2.00,0.50,0.98,0.00
2.00,0.75,0.95,0.00
2.00,1.00,0.87,0.01
2.00,1.25,0.88,0.00
2.00,1.50,0.80,0.01
2.00,1.75,0.78,0.01
2.00,2.00,0.65,0.04
2.00,2.25,0.64,0.02
2.00,2.50,0.49,0.05
2.00,2.75,0.46,0.01
2.00,3.00,0.42,0.04
2.00,3.25,0.35,0.00
2.00,3.50,0.25,0.02
2.00,3.75,0.17,0.00
2.00,4.00,0.13,0.00
2.00,4.25,0.06,0.00
2.00,4.50,0.05,0.00
2.00,4.75,0.08,0.00
2.00,5.00,0.06,0.00
2.00,5.25,0.05,0.00
2.00,5.50,0.05,0.00
2.00,5.75,0.05,0.00
2.00,6.00,0.05,0.00
2.00,6.25,0.05,0.00
2.00,6.50,0.04,0.00
2.00,6.75,0.04,0.00
2.00,7.00,0.04,0.00
