Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.92,0.00
4.00,1.50,0.87,0.00
4.00,1.75,0.85,0.00
4.00,2.00,0.81,0.00
4.00,2.25,0.79,0.00
4.00,2.50,0.71,0.00
4.00,2.75,0.60,0.00
4.00,3.00,0.55,0.01
4.00,3.25,0.52,0.01
4.00,3.50,0.37,0.03
4.00,3.75,0.40,0.01
4.00,4.00,0.35,0.00
4.00,4.25,0.23,0.00
4.00,4.50,0.18,0.01
4.00,4.75,0.15,0.00
4.00,5.00,0.10,0.00
4.00,5.25,0.09,0.00
4.00,5.50,0.13,0.00
4.00,5.75,0.06,0.00
4.00,6.00,0.06,0.00
4.00,6.25,0.09,0.00
4.00,6.50,0.09,0.00
4.00,6.75,0.09,0.00
4.00,7.00,0.11,0.01
