Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.95,0.00
4.00,1.25,0.92,0.00
4.00,1.50,0.90,0.00
4.00,1.75,0.85,0.00
4.00,2.00,0.82,0.00
4.00,2.25,0.78,0.00
4.00,2.50,0.73,0.00
4.00,2.75,0.68,0.00
4.00,3.00,0.59,0.00
4.00,3.25,0.57,0.00
4.00,3.50,0.51,0.01
4.00,3.75,0.41,0.00
4.00,4.00,0.30,0.01
4.00,4.25,0.28,0.01
4.00,4.50,0.16,0.01
4.00,4.75,0.21,0.00
4.00,5.00,0.13,0.00
4.00,5.25,0.15,0.00
4.00,5.50,0.09,0.00
4.00,5.75,0.08,0.00
4.00,6.00,0.11,0.00
4.00,6.25,0.06,0.00
4.00,6.50,0.07,0.00
4.00,6.75,0.13,0.00
4.00,7.00,0.08,0.00
