Density,Noise,OP,Error
4.00,0.00,1.00,0.00
4.00,0.25,1.00,0.00
4.00,0.50,0.99,0.00
4.00,0.75,0.97,0.00
4.00,1.00,0.96,0.00
4.00,1.25,0.93,0.00
4.00,1.50,0.90,0.00
4.00,1.75,0.85,0.00
4.00,2.00,0.83,0.00
4.00,2.25,0.77,0.00
4.00,2.50,0.67,0.01
4.00,2.75,0.67,0.00
4.00,3.00,0.60,0.00
4.00,3.25,0.47,0.01
4.00,3.50,0.48,0.00
4.00,3.75,0.41,0.01
4.00,4.00,0.35,0.00
4.00,4.25,0.26,0.01
4.00,4.50,0.25,0.01
4.00,4.75,0.13,0.01
4.00,5.00,0.15,0.00
4.00,5.25,0.09,0.00
4.00,5.50,0.09,0.00
4.00,5.75,0.09,0.00
4.00,6.00,0.07,0.00
4.00,6.25,0.11,0.00
4.00,6.50,0.10,0.00
4.00,6.75,0.08,0.00
4.00,7.00,0.10,0.00
