Density,Noise,OP,Error
2.00,0.00,1.00,0.00
2.00,0.25,1.00,0.00
2.00,0.50,0.98,0.00
2.00,0.75,0.94,0.00
2.00,1.00,0.92,0.00
2.00,1.25,0.87,0.00
2.00,1.50,0.87,0.00
2.00,1.75,0.75,0.01
2.00,2.00,0.67,0.03
2.00,2.25,0.67,0.01
2.00,2.50,0.52,0.01
2.00,2.75,0.55,0.01
2.00,3.00,0.42,0.02
2.00,3.25,0.37,0.02
2.00,3.50,0.23,0.01
2.00,3.75,0.18,0.01
2.00,4.00,0.20,0.01
2.00,4.25,0.10,0.00
2.00,4.50,0.07,0.00
2.00,4.75,0.03,0.00
2.00,5.00,0.06,0.00
2.00,5.25,0.05,0.00
2.00,5.50,0.04,0.00
2.00,5.75,0.03,0.00
2.00,6.00,0.05,0.00
2.00,6.25,0.04,0.00
2.00,6.50,0.05,0.00
2.00,6.75,0.03,0.00
2.00,7.00,0.05,0.00
